Count,P1,P2,P3,P4
1763786,1,1,1,1
1810288,1,1,1,2
1760599,1,1,1,3
1788794,1,1,2,1
1817706,1,1,2,2
1774180,1,1,2,3
1663879,1,1,3,1
1855086,1,1,3,2
1793382,1,1,3,3
1758993,1,2,1,1
1782104,1,2,1,2
1754090,1,2,1,3
1754205,1,2,2,1
1797332,1,2,2,2
1768510,1,2,2,3
1799709,1,2,3,1
1835048,1,2,3,2
1782767,1,2,3,3
1757975,1,3,1,1
1664468,1,3,1,2
1697852,1,3,1,3
1764467,1,3,2,1
1773715,1,3,2,2
1703921,1,3,2,3
1792075,1,3,3,1
1791150,1,3,3,2
1729836,1,3,3,3
1756059,2,1,1,1
1795545,2,1,1,2
1759520,2,1,1,3
1771271,2,1,2,1
1813753,2,1,2,2
1769856,2,1,2,3
1820271,2,1,3,1
1823618,2,1,3,2
1789024,2,1,3,3
1761500,2,2,1,1
1774387,2,2,1,2
1752119,2,2,1,3
1753892,2,2,2,1
1782750,2,2,2,2
1767141,2,2,2,3
1805230,2,2,3,1
1837157,2,2,3,2
1781575,2,2,3,3
1728231,2,3,1,1
1750388,2,3,1,2
1700565,2,3,1,3
1760466,2,3,2,1
1782129,2,3,2,2
1720136,2,3,2,3
1808422,2,3,3,1
1816221,2,3,3,2
1742671,2,3,3,3
1786696,3,1,1,1
1804945,3,1,1,2
1765693,3,1,1,3
1801935,3,1,2,1
1775999,3,1,2,2
1780230,3,1,2,3
1818321,3,1,3,1
1808801,3,1,3,2
1773914,3,1,3,3
1736364,3,2,1,1
1776910,3,2,1,2
1765282,3,2,1,3
1765558,3,2,2,1
1778304,3,2,2,2
1766962,3,2,2,3
1763403,3,2,3,1
1792950,3,2,3,2
1760205,3,2,3,3
1769340,3,3,1,1
1782291,3,3,1,2
1739249,3,3,1,3
1791500,3,3,2,1
1792321,3,3,2,2
1729298,3,3,2,3
1798214,3,3,3,1
1799407,3,3,3,2
1722342,3,3,3,3
