Count,P1,P2,P3,P4
1662414,1,1,1,1
1679357,1,1,1,2
1610662,1,1,1,3
1642423,1,1,2,1
1669860,1,1,2,2
1667168,1,1,2,3
1694572,1,1,3,1
1669210,1,1,3,2
1644686,1,1,3,3
1645759,1,2,1,1
1659934,1,2,1,2
1672272,1,2,1,3
1643939,1,2,2,1
1650422,1,2,2,2
1670788,1,2,2,3
1663373,1,2,3,1
1667964,1,2,3,2
1658858,1,2,3,3
1663493,1,3,1,1
1717052,1,3,1,2
1729283,1,3,1,3
1667046,1,3,2,1
1700427,1,3,2,2
1714434,1,3,2,3
1695703,1,3,3,1
1710259,1,3,3,2
1740252,1,3,3,3
1655771,2,1,1,1
1671526,2,1,1,2
1662633,2,1,1,3
1662035,2,1,2,1
1658661,2,1,2,2
1664199,2,1,2,3
1651854,2,1,3,1
1677215,2,1,3,2
1673090,2,1,3,3
1658306,2,2,1,1
1674488,2,2,1,2
1639213,2,2,1,3
1662473,2,2,2,1
1671679,2,2,2,2
1645679,2,2,2,3
1674125,2,2,3,1
1667901,2,2,3,2
1650397,2,2,3,3
1671949,2,3,1,1
1716402,2,3,1,2
1730751,2,3,1,3
1669262,2,3,2,1
1717637,2,3,2,2
1751363,2,3,2,3
1697759,2,3,3,1
1744436,2,3,3,2
1726041,2,3,3,3
1661867,3,1,1,1
1683360,3,1,1,2
1618082,3,1,1,3
1654034,3,1,2,1
1666271,3,1,2,2
1655198,3,1,2,3
1643992,3,1,3,1
1631366,3,1,3,2
1653777,3,1,3,3
1652938,3,2,1,1
1681146,3,2,1,2
1638791,3,2,1,3
1663133,3,2,2,1
1668524,3,2,2,2
1627185,3,2,2,3
1647578,3,2,3,1
1639955,3,2,3,2
1615346,3,2,3,3
1677433,3,3,1,1
1751635,3,3,1,2
1695351,3,3,1,3
1693777,3,3,2,1
1735455,3,3,2,2
1699315,3,3,2,3
1675506,3,3,3,1
1714284,3,3,3,2
1718097,3,3,3,3
