panel,state,observable,method,shots,reference,rmse,rmse_recomputed,rmse_rounding_delta,mean_estimate,std_estimate,repeats,source_file,source_row
a,W,random_H_3,SG,12,0.019727,0.046501,0.046500865697317935,1.3430268206576779e-07,0.0429548,0.040283989595867986,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,1
a,W,random_H_3,SG,45,0.019727,0.035824,0.03582354194799839,4.5805200161314064e-07,0.0342183,0.03276169076848751,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,2
a,W,random_H_3,SG,160,0.019727,0.01667,0.016669658573288174,3.414267118265202e-07,0.02512545,0.015771311123286485,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,3
a,W,random_H_3,SG,572,0.019727,0.008774,0.008773877059202505,1.2294079749543274e-07,0.02008365,0.008766625315792843,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,4
a,W,random_H_3,SG,1000,0.019727,0.006457,0.0064569599464453864,4.0053554613631026e-08,0.02046775,0.006414329363815051,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,5
a,W,random_H_3,SG,2038,0.019727,0.005584,0.005584064594898594,6.4594898593201e-08,0.0218078,0.0051818962513736225,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,6
a,W,random_H_3,SG,7259,0.019727,0.003468,0.0034678644076722486,1.3559232775158317e-07,0.02167595,0.0028683928335393673,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,7
a,W,random_H_3,SG,25848,0.019727,0.003042,0.003042040745946706,4.07459467060764e-08,0.0223216,0.0015881003557710073,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,8
a,W,random_H_3,Derand,12,0.019727,0.043806,0.04380613482607202,1.348260720221428e-07,0.0118129,0.04308531617140578,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,1
a,W,random_H_3,Derand,45,0.019727,0.038361,0.0383614488210495,4.488210494993372e-07,0.036480849999999995,0.03450955325453373,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,2
a,W,random_H_3,Derand,160,0.019727,0.018976,0.018975881166628336,1.1883337166368468e-07,0.025693149999999998,0.018013581549139526,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,3
a,W,random_H_3,Derand,572,0.019727,0.009989,0.009989168854314156,1.6885431415591956e-07,0.020672199999999998,0.009944349720318569,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,4
a,W,random_H_3,Derand,1000,0.019727,0.006544,0.0065435075914986145,4.924085013858701e-07,0.020124,0.0065314533298493375,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,5
a,W,random_H_3,Derand,2038,0.019727,0.004514,0.0045142827392621295,2.82739262129697e-07,0.02149875,0.004152065821672388,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,6
a,W,random_H_3,Derand,7259,0.019727,0.003606,0.0036057600100394913,2.399899605085021e-07,0.02178095,0.0029635780144109582,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,7
a,W,random_H_3,Derand,25848,0.019727,0.00298,0.002980043498004684,4.3498004683849983e-08,0.02237575,0.0013655704622977166,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,8
a,W,random_H_3,OGM,12,0.019727,0.04474,0.04473969105000614,3.0894999385883137e-07,0.03438015,0.042272037451813224,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,1
a,W,random_H_3,OGM,45,0.019727,0.038352,0.03835209562396819,9.562396819512431e-08,0.031307249999999995,0.03656201647458056,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,2
a,W,random_H_3,OGM,160,0.019727,0.017589,0.017588786117864984,2.138821350167186e-07,0.026399600000000002,0.01627396099110478,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,3
a,W,random_H_3,OGM,572,0.019727,0.009403,0.009402704714602072,2.9528539792836317e-07,0.020737949999999998,0.009348199615300265,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,4
