panel,state,observable,method,shots,reference,rmse,rmse_recomputed,rmse_rounding_delta,mean_estimate,std_estimate,repeats,source_file,source_row
a,W,random_H_3,SG,12,0.0197273333,0.0550878894,0.055087889407291785,7.291785231178238e-12,0.03515705334,0.05288288285293487,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,1
a,W,random_H_3,SG,45,0.0197273333,0.0404513715,0.040451371519934304,1.9934304207325226e-11,0.01567546441,0.04024792934229042,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,2
a,W,random_H_3,SG,160,0.0197273333,0.0172235673,0.017223567313078152,1.307815314377514e-11,0.020775859145,0.01719162192873323,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,3
a,W,random_H_3,SG,572,0.0197273333,0.0222989687,0.022298968682623505,1.7376496075360848e-11,0.014383237679999999,0.021649125763247824,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,4
a,W,random_H_3,SG,7259,0.0197273333,0.005616677,0.005616676927767757,7.22322427565425e-11,0.014713685915,0.0025318766971954435,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,6
a,W,random_H_3,SG,25848,0.0197273333,0.0052300355,0.005230035512680766,1.2680766159345325e-11,0.01485294069,0.001895670896405636,20,data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,7
a,W,random_H_3,Derand,12,0.0197273333,0.0472501147,0.04725011473174731,3.1747313111729625e-11,0.03661557381,0.04412890973771819,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,1
a,W,random_H_3,Derand,45,0.0197273333,0.0304123218,0.03041232176564164,3.435835990717173e-11,0.00233357964,0.024947277382354905,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,2
a,W,random_H_3,Derand,160,0.0197273333,0.0204896255,0.020489625525609206,2.5609205728249762e-11,0.01873530729,0.0204655964627269,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,3
a,W,random_H_3,Derand,572,0.0197273333,0.0095657833,0.009565783287696696,1.230330420876058e-11,0.023252125685,0.008892696359925003,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,4
a,W,random_H_3,Derand,7259,0.0197273333,0.0029265888,0.002926588792140952,7.859048047759165e-12,0.01992699712,0.002919769908274973,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,6
a,W,random_H_3,Derand,25848,0.0197273333,0.0015188986,0.001518898618189073,1.8189072860733124e-11,0.01977781293,0.0015180595572281538,20,data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,7
a,W,random_H_3,OGM,12,0.0197273333,0.050194821,0.050194820989796676,1.0203324296576e-11,0.011280736675000002,0.04947903656754315,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,1
a,W,random_H_3,OGM,45,0.0197273333,0.0323774277,0.03237742767623358,2.3766419388060456e-11,0.013724855515,0.031816160726434575,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,2
a,W,random_H_3,OGM,160,0.0197273333,0.0126167614,0.012616761419948642,1.9948641696854175e-11,0.01611183679,0.012087632262526946,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,3
a,W,random_H_3,OGM,572,0.0197273333,0.0072565573,0.007256557340033211,4.0033211121115464e-11,0.01957021044,0.007254856086515797,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,4
a,W,random_H_3,OGM,7259,0.0197273333,0.0036928444,0.003692844365396221,3.460377904357381e-11,0.019820322245,0.0036916734095998258,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,6
a,W,random_H_3,OGM,25848,0.0197273333,0.0016932121,0.0016932120699303828,3.0069617152142514e-11,0.019798296139999998,0.0016917243833133888,20,data_rhoH/haozhaowu_outputs_W/OGM_rand_H_counts_3.txt,7
a,W,random_H_3,AP,12,0.0197273333,0.0442734698,0.04427346976028605,3.9713947408426264e-11,0.022933970465000002,0.044157191970357494,20,data_rhoH/haozhaowu_outputs_W/AdaptivePaulisrand_H_counts_3.txt,1
a,W,random_H_3,AP,45,0.0197273333,0.0437034919,0.04370349186068935,3.931065195583727e-11,0.029848773925,0.0425153106597134,20,data_rhoH/haozhaowu_outputs_W/AdaptivePaulisrand_H_counts_3.txt,2
a,W,random_H_3,AP,160,0.0197273333,0.0160662232,0.016066223150826824,4.917317594776982e-11,0.017679459510000002,0.01593517302298268,20,data_rhoH/haozhaowu_outputs_W/AdaptivePaulisrand_H_counts_3.txt,3
a,W,random_H_3,AP,572,0.0197273333,0.0136224454,0.013622445446462505,4.6462503983102366e-11,0.02009672453,0.013617436251403792,20,data_rhoH/haozhaowu_outputs_W/AdaptivePaulisrand_H_counts_3.txt,4
a,W,random_H_3,AP,7259,0.0197273333,0.0027123884,0.0027123884022102656,2.210265390850674e-12,0.01898969059,0.0026101597799423337,20,data_rhoH/haozhaowu_outputs_W/AdaptivePaulisrand_H_counts_3.txt,6
a,W,random_H_3,AP,25848,0.0197273333,0.0018700363,0.0018700362869453954,1.3054604489429189e-11,0.019810153195,0.0018682014290447137,20,data_rhoH/haozhaowu_outputs_W/AdaptivePaulisrand_H_counts_3.txt,7
a,W,random_H_3,Compact,12,0.0197273333,0.031514605,0.031514605016727086,1.672708499489417e-11,0.033612965,0.028290626745483653,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,1
a,W,random_H_3,Compact,45,0.0197273333,0.0188334544,0.01883345441889002,1.8890018022021948e-11,0.01676795327,0.01859949126149544,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,2
a,W,random_H_3,Compact,160,0.0197273333,0.0111654284,0.01116542846115776,6.115775941228918e-11,0.02246966776,0.010823418795867056,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,3
a,W,random_H_3,Compact,572,0.0197273333,0.0036182019,0.003618201908683962,8.683961969652154e-12,0.021116459955,0.003340914872961114,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,4
a,W,random_H_3,Compact,7259,0.0197273333,0.0012932689,0.0012932688725419855,2.745801459466679e-11,0.019625109834999998,0.0012892225331142067,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,6
a,W,random_H_3,Compact,25848,0.0197273333,0.0009031659,0.0009031658886731397,1.1326860348097323e-11,0.01963576375,0.0008985119030794972,20,data_rhoH/haozhaowu_outputs_W/OGM_sym_rand_H_counts_3.txt,7
b,GHZ,random_H_3,SG,12,0.065967,0.0343885877,0.034388587734313386,3.431338546633356e-11,0.059431124999999994,0.03376177282585949,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,1
b,GHZ,random_H_3,SG,45,0.065967,0.0347235171,0.03472351714736695,4.73669506395602e-11,0.07918391411,0.03210974656537123,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,2
b,GHZ,random_H_3,SG,160,0.065967,0.0231352126,0.023135212611200783,1.120078335636876e-11,0.0590462945,0.022075821569031887,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,3
b,GHZ,random_H_3,SG,572,0.065967,0.01128719,0.011287190006316564,6.316563591624025e-12,0.067786994545,0.011139491823905737,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,4
b,GHZ,random_H_3,SG,7259,0.065967,0.0031299152,0.0031299151543396396,4.566036047523592e-11,0.065187016665,0.0030311705446060292,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,6
b,GHZ,random_H_3,SG,25848,0.065967,0.0016523767,0.001652376688850466,1.1149533987037108e-11,0.065304228495,0.001513632271728001,20,data_rhoH/haozhaowu_outputs_GHZ/ShadowGroupingrand_H_counts_3.txt,7
b,GHZ,random_H_3,Derand,12,0.065967,0.0536243211,0.05362432115621974,5.621974413783093e-11,0.043304999994999996,0.04860042772691179,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,1
b,GHZ,random_H_3,Derand,45,0.065967,0.0311308037,0.031130803745757205,4.575720358168667e-11,0.066886427315,0.03111722345051503,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,2
b,GHZ,random_H_3,Derand,160,0.065967,0.0218413863,0.02184138630963033,9.6303277852261e-12,0.06274330869,0.0216021751280823,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,3
b,GHZ,random_H_3,Derand,572,0.065967,0.0114706059,0.011470605897914949,2.0850508819503233e-12,0.065298276465,0.011451096388513125,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,4
b,GHZ,random_H_3,Derand,7259,0.065967,0.0044134786,0.0044134785980684405,1.9315599467106814e-12,0.06677676816,0.004338556080386466,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,6
b,GHZ,random_H_3,Derand,25848,0.065967,0.0023685112,0.0023685111810916723,1.8908327594630014e-11,0.065976195965,0.002368493328929594,20,data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,7
