num_qubits,seed,variant,shots,exact,mean,std,deviation,repeats,num_terms,num_settings,hamiltonian_file,probability_file
8,20260508,H,12,0.0,0.2905838130555557,2.8433631739287106,2.8581730338214055,20,56,10,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_H_8.txt
8,20260508,H,45,0.0,0.14114208110255633,1.2760643997680563,1.283846345717964,20,56,10,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_H_8.txt
8,20260508,H,160,0.0,-0.003965617697715718,0.731347225132464,0.7313579765290589,20,56,10,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_H_8.txt
8,20260508,H,572,0.0,0.10702286337654199,0.41588855440739,0.4294382178758459,20,56,10,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_H_8.txt
8,20260508,H,2038,0.0,-0.03453485596014579,0.18545333024978783,0.18864144289345564,20,56,10,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_H_8.txt
8,20260508,H,7259,0.0,-0.010405856349349735,0.08432851131706733,0.08496810970779599,20,56,10,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_H_8.txt
8,20260508,sym_H,12,0.0,0.019559679999999982,0.2871789842366614,0.2878443156793321,20,56,8,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/sym_H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_sym_H_8.txt
8,20260508,sym_H,45,0.0,0.014131286666666677,0.15257583477533582,0.15322884395650216,20,56,8,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/sym_H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_sym_H_8.txt
8,20260508,sym_H,160,0.0,-0.0258477004327309,0.10390992092078002,0.1070764926742698,20,56,8,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/sym_H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_sym_H_8.txt
8,20260508,sym_H,572,0.0,-0.007287272936628888,0.05036611032575475,0.05089056313501574,20,56,8,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/sym_H_8.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/OGM_probabilities/OGM_sym_H_8.txt
