case_name,state,observable,method,shots_max,variance_T_at_shots_max,variance_single_shot,variance_source
H_4_W,W,SpinH,Derand,25848,0.00306035376904,79.1040242222,empirical_schedule
H_4_W,W,SpinH,OGM,25848,0.000480635926679,12.4234774328,cutset_probability
H_4_W,W,SpinH,AP,25848,0.000494999626718,12.7947503514,empirical_schedule
H_4_W,W,SpinH,SG,25848,0.000442613088338,11.4406631073,empirical_schedule
H_4_W,W,SpinH,Compact,25848,2.30327993233e-05,0.59535179691,empirical_schedule
rand_H_3_W,W,RandH,Derand,25848,7.25519955916e-06,0.187532398205,empirical_schedule
rand_H_3_W,W,RandH,OGM,25848,2.72531531912e-06,0.0704439503686,cutset_probability
rand_H_3_W,W,RandH,AP,25848,3.24006119662e-06,0.0837491018101,empirical_schedule
rand_H_3_W,W,RandH,SG,25848,3.21483423522e-06,0.083097035312,empirical_schedule
rand_H_3_W,W,RandH,Compact,25848,8.83520541677e-07,0.0228372389613,cutset_probability
H_swap_3_W,W,nonlinear SpinH,Derand,7259,0.00497546123515,36.1168731059,empirical_schedule
H_swap_3_W,W,nonlinear SpinH,OGM,7259,0.00452115660801,32.8190758175,empirical_schedule
H_swap_3_W,W,nonlinear SpinH,SG,7259,0.0049376595991,35.8424710299,empirical_schedule
H_swap_3_W,W,nonlinear SpinH,Compact,7259,0.00176447274753,12.8083076743,empirical_schedule
H_4_GHZ,GHZ,SpinH,Derand,25848,0.00442646715129,114.415322927,empirical_schedule
H_4_GHZ,GHZ,SpinH,OGM,25848,0.000667368354319,17.2501372224,cutset_probability
H_4_GHZ,GHZ,SpinH,AP,25848,0.000701216820682,18.125052381,empirical_schedule
H_4_GHZ,GHZ,SpinH,SG,25848,0.000626901343886,16.2041459368,empirical_schedule
H_4_GHZ,GHZ,SpinH,Compact,25848,2.78037683132e-05,0.718671803359,empirical_schedule
rand_H_3_GHZ,GHZ,RandH,Derand,25848,6.8169979646e-06,0.176205763389,empirical_schedule
rand_H_3_GHZ,GHZ,RandH,OGM,25848,2.34881275377e-06,0.0607121120594,cutset_probability
rand_H_3_GHZ,GHZ,RandH,AP,25848,2.88591119412e-06,0.0745950325456,empirical_schedule
rand_H_3_GHZ,GHZ,RandH,SG,25848,2.83569768518e-06,0.0732971137666,empirical_schedule
rand_H_3_GHZ,GHZ,RandH,Compact,25848,6.31563281481e-07,0.0163246476997,cutset_probability
H_swap_3_GHZ,GHZ,nonlinear SpinH,Derand,7259,0.0042044468994,30.5200800428,empirical_schedule
H_swap_3_GHZ,GHZ,nonlinear SpinH,OGM,7259,0.00388021588207,28.1664870879,empirical_schedule
H_swap_3_GHZ,GHZ,nonlinear SpinH,SG,7259,0.00420742316201,30.541684733,empirical_schedule
H_swap_3_GHZ,GHZ,nonlinear SpinH,Compact,7259,0.00146276871001,10.618238066,empirical_schedule
